NorthVehicles,SouthVehicles,EastVehicles,WestVehicles,NorthWaitingTime,SouthWaitingTime,EastWaitingTime,WestWaitingTime,TimeOfDay,Weather,Emergency,TrafficDensity,CongestionLevel,GreenSignalTime,BestRoad
26,28,16,26,88,106,55,88,Afternoon,Foggy,None,Medium,High,30,South
55,45,24,13,173,159,89,44,Morning,Foggy,None,High,Very High,50,North
40,19,54,39,95,38,112,92,Evening,Clear,None,High,High,50,East
47,29,26,26,102,61,65,53,Morning,Clear,None,High,High,40,North
40,40,30,44,118,122,101,133,Evening,Rainy,South,High,Very High,40,South
16,32,29,34,44,69,66,71,Afternoon,Clear,None,High,High,30,West
45,40,25,28,95,86,62,58,Morning,Clear,None,High,High,40,North
35,41,45,30,110,128,159,100,Evening,Foggy,South,High,Very High,40,South
22,39,45,34,80,139,144,106,Evening,Foggy,None,High,Very High,40,East
41,44,17,19,87,89,41,45,Morning,Clear,None,High,High,40,South
34,40,11,27,79,83,25,68,Morning,Clear,None,High,High,40,South
40,43,55,42,83,91,111,86,Evening,Clear,None,Very High,High,50,East
35,38,53,53,101,114,155,145,Evening,Rainy,None,Very High,Very High,50,East
35,31,35,23,84,71,83,51,Morning,Clear,None,High,High,30,North
0,12,12,1,10,33,33,11,Night,Clear,None,Low,Low,20,South
30,43,14,16,74,86,43,38,Morning,Clear,None,High,High,40,South
19,34,53,47,66,127,178,148,Evening,Foggy,None,High,Very High,50,East
34,15,19,30,110,65,80,93,Afternoon,Foggy,None,Medium,High,30,North
34,27,39,51,75,55,87,115,Evening,Clear,None,High,High,50,West
38,28,51,42,118,91,137,113,Evening,Rainy,None,High,Very High,50,East
8,7,8,8,25,16,17,21,Night,Clear,None,Low,Low,10,North
26,27,36,37,70,83,102,120,Afternoon,Rainy,None,High,High,40,West
8,0,8,13,36,9,40,55,Night,Rainy,None,Low,Medium,20,West
31,55,33,19,103,155,101,68,Morning,Rainy,None,High,Very High,50,South
30,46,17,27,96,151,69,88,Morning,Foggy,None,High,Very High,40,South
45,35,27,29,95,79,63,72,Morning,Clear,None,High,High,40,North
40,37,16,24,84,74,37,58,Morning,Clear,None,High,High,40,North
22,32,23,22,58,64,51,53,Afternoon,Clear,None,Medium,Medium,30,South
14,28,35,27,49,82,105,72,Afternoon,Rainy,None,High,High,30,East
45,38,32,22,93,91,67,59,Morning,Clear,None,High,High,40,North
48,30,34,25,99,66,76,64,Morning,Clear,None,High,High,40,North
3,8,0,0,18,19,3,1,Night,Clear,None,Low,Low,10,South
30,34,33,33,74,74,69,73,Evening,Clear,None,High,High,30,West
31,30,50,31,76,62,113,74,Evening,Clear,None,High,High,40,East
27,15,20,15,100,58,80,58,Afternoon,Foggy,None,Medium,High,30,North
57,31,27,21,124,63,57,52,Morning,Clear,None,High,High,50,North
25,27,41,45,85,86,113,140,Evening,Rainy,None,High,Very High,40,West
33,37,33,42,98,99,106,125,Evening,Rainy,None,High,Very High,40,West
34,39,10,23,69,82,27,46,Morning,Clear,None,High,Medium,40,South
4,2,2,9,22,6,18,27,Night,Clear,None,Low,Low,10,West
2,1,8,12,18,12,44,38,Night,Foggy,None,Low,Low,20,West
27,14,29,20,87,39,91,66,Afternoon,Rainy,None,Medium,High,30,East
29,42,34,43,72,91,78,101,Evening,Clear,None,High,High,40,West
2,4,12,3,14,14,27,18,Night,Clear,None,Low,Low,20,East
27,38,34,39,55,76,81,82,Evening,Clear,None,High,High,40,West
46,43,21,13,97,92,52,35,Morning,Clear,None,High,High,40,North
25,25,29,14,54,56,62,40,Afternoon,Clear,None,Medium,Medium,30,East
32,31,38,46,78,67,78,99,Evening,Clear,None,High,High,40,West
57,38,26,10,180,139,94,48,Morning,Foggy,None,High,Very High,50,North
11,14,4,3,37,31,23,12,Night,Clear,None,Low,Low,20,South
39,34,30,25,91,73,63,53,Morning,Clear,None,High,High,40,North
28,28,16,27,105,105,63,94,Afternoon,Foggy,None,Medium,High,30,South
44,34,25,22,99,72,60,47,Morning,Clear,None,High,High,40,North
35,34,32,24,113,112,106,78,Morning,Rainy,None,High,Very High,30,North
42,20,45,41,89,47,99,96,Evening,Clear,None,High,High,40,East
6,7,2,12,31,18,10,49,Night,Rainy,None,Low,Low,20,West
15,13,8,4,54,41,27,24,Night,Rainy,None,Medium,Medium,20,North
53,25,16,19,120,58,46,47,Morning,Clear,None,High,High,50,North
18,32,25,17,39,77,59,47,Afternoon,Clear,None,Medium,Medium,30,South
34,34,14,27,113,116,46,105,Morning,Foggy,None,High,High,30,South
2,1,7,6,5,10,24,18,Night,Rainy,None,Low,Low,10,East
22,31,27,22,71,86,91,74,Afternoon,Rainy,None,High,High,30,South
24,27,42,37,60,63,91,78,Evening,Clear,None,High,High,40,East
33,31,30,32,79,62,65,64,Morning,Clear,None,High,High,30,North
45,36,31,18,98,78,76,39,Morning,Clear,None,High,High,40,North
58,40,12,29,126,93,36,72,Morning,Clear,None,High,High,50,North
31,25,25,20,65,57,62,53,Afternoon,Clear,None,High,Medium,30,North
39,24,55,31,112,75,149,97,Evening,Rainy,None,High,Very High,50,East
51,31,38,27,167,102,139,102,Morning,Foggy,None,High,Very High,50,North
40,44,18,17,114,120,58,52,Morning,Rainy,None,High,High,40,South
38,26,49,42,102,87,144,121,Evening,Rainy,None,High,Very High,40,East
25,19,37,29,51,52,84,72,Evening,Clear,None,High,High,40,East
26,20,29,33,79,62,91,91,Afternoon,Rainy,None,High,High,30,West
33,31,42,40,80,72,98,88,Evening,Clear,None,High,High,40,East
41,25,43,50,90,53,99,107,Evening,Clear,None,High,High,40,West
31,36,34,28,71,83,74,66,Evening,Clear,None,High,High,40,South
33,44,30,32,77,98,65,67,Evening,Clear,None,High,High,40,South
29,17,27,28,60,41,56,64,Afternoon,Clear,None,High,Medium,30,West
30,41,46,37,93,112,137,101,Evening,Rainy,None,High,Very High,40,East
50,48,29,15,161,158,111,62,Morning,Foggy,None,High,Very High,40,North
25,45,38,48,62,91,85,97,Evening,Clear,None,High,High,40,West
20,20,32,32,67,71,91,106,Afternoon,Rainy,None,High,High,30,West
40,30,25,19,113,101,72,63,Morning,Rainy,None,High,High,40,North
47,28,15,29,107,62,34,73,Morning,Clear,None,High,High,40,North
35,26,27,31,70,64,62,70,Afternoon,Clear,None,High,High,30,North
47,31,13,12,104,67,40,24,Morning,Clear,South,High,Medium,30,South
11,6,13,7,49,27,46,37,Night,Foggy,None,Low,Medium,20,East
41,50,23,18,97,106,46,50,Morning,Clear,None,High,High,40,South
24,24,15,32,76,78,52,97,Afternoon,Rainy,None,Medium,High,30,West
34,18,18,28,70,41,45,66,Afternoon,Clear,East,Medium,Medium,20,East
23,32,32,17,82,89,93,60,Afternoon,Rainy,None,High,High,30,East
7,6,7,9,23,16,21,26,Night,Clear,None,Low,Low,10,West
25,32,52,29,87,94,140,81,Evening,Rainy,None,High,Very High,50,East
15,18,15,27,34,48,36,68,Afternoon,Clear,None,Medium,Medium,30,West
26,22,20,23,63,54,46,60,Afternoon,Clear,None,Medium,Medium,30,North
36,51,26,22,85,117,58,58,Morning,Clear,None,High,High,50,South
34,47,16,17,98,132,45,63,Morning,Rainy,None,High,High,40,South
6,6,0,9,13,26,6,30,Night,Clear,None,Low,Low,10,West
33,35,33,28,67,84,78,68,Morning,Clear,None,High,High,30,South
53,49,23,9,110,103,54,29,Morning,Clear,None,High,High,50,North
0,8,5,6,8,30,13,15,Night,Clear,None,Low,Low,10,South
30,29,26,21,81,79,81,62,Morning,Rainy,None,High,High,30,North
42,44,58,47,90,90,117,104,Evening,Clear,None,Very High,Very High,50,East
41,35,15,26,122,102,51,71,Morning,Rainy,None,High,High,40,North
52,37,21,17,109,74,48,42,Morning,Clear,None,High,High,50,North
37,48,28,23,101,130,94,67,Morning,Rainy,None,High,High,40,South
48,27,32,8,101,56,77,22,Morning,Clear,None,High,High,40,North
31,28,23,32,70,68,47,66,Afternoon,Clear,None,High,High,30,West
48,50,17,15,106,115,44,43,Morning,Clear,None,High,High,40,South
36,30,30,37,127,114,106,134,Evening,Foggy,None,High,Very High,40,West
30,28,17,19,70,58,44,50,Afternoon,Clear,None,Medium,Medium,30,North
24,23,17,17,72,71,60,62,Afternoon,Rainy,None,Medium,High,30,North
27,30,33,32,57,74,78,71,Evening,Clear,None,High,High,30,East
45,42,32,23,155,133,108,77,Morning,Foggy,None,High,Very High,40,North
8,0,1,5,22,1,15,12,Night,Clear,None,Low,Low,10,North
51,40,19,19,117,81,46,45,Morning,Clear,None,High,High,50,North
46,34,43,40,133,99,128,117,Evening,Rainy,None,Very High,Very High,40,North
44,27,17,13,145,100,60,63,Morning,Foggy,None,High,High,40,North
39,15,38,37,92,35,78,89,Evening,Clear,None,High,High,40,North
15,15,4,14,44,44,13,37,Night,Clear,None,Medium,Medium,20,North
14,23,18,22,38,47,38,47,Afternoon,Clear,West,Medium,Medium,30,West
53,39,11,14,108,85,29,39,Morning,Clear,None,High,High,50,North
29,27,45,32,64,69,96,71,Evening,Clear,None,High,High,40,East
42,45,35,51,87,95,72,117,Evening,Clear,None,Very High,High,50,West
43,30,18,14,86,69,46,41,Morning,Clear,None,High,High,40,North
43,29,31,47,92,70,70,98,Evening,Clear,None,High,High,40,West
33,35,27,24,105,125,86,89,Morning,Foggy,None,High,Very High,30,South
40,31,24,17,94,62,62,46,Morning,Clear,None,High,High,40,North
42,44,33,9,93,89,81,29,Morning,Clear,None,High,High,40,South
4,5,14,14,9,23,39,43,Night,Clear,None,Low,Low,20,West
37,45,24,28,113,140,79,82,Morning,Rainy,None,High,Very High,40,South
15,8,0,7,45,20,10,29,Night,Clear,None,Low,Low,20,North
31,41,33,20,77,95,75,48,Morning,Clear,None,High,High,40,South
19,27,33,33,55,75,109,108,Afternoon,Rainy,None,High,High,30,West
20,32,37,34,42,73,89,75,Afternoon,Clear,None,High,High,40,East
4,2,6,9,27,9,29,37,Night,Rainy,None,Low,Low,10,West
37,37,31,30,79,80,62,68,Morning,Clear,None,High,High,40,South
19,15,41,34,47,43,95,80,Evening,Clear,None,High,High,40,East
17,32,32,36,44,74,74,77,Afternoon,Clear,None,High,High,40,West
55,43,15,24,122,97,32,55,Morning,Clear,None,High,High,50,North
35,42,30,44,79,84,62,94,Evening,Clear,None,High,High,40,West
26,16,53,46,60,33,115,97,Evening,Clear,None,High,High,50,East
26,28,27,37,54,69,60,82,Afternoon,Clear,None,High,High,40,West
23,18,36,23,60,38,73,59,Afternoon,Clear,None,High,Medium,40,East
55,47,20,25,122,101,45,55,Morning,Clear,East,High,High,50,North
41,31,33,22,112,90,91,68,Morning,Rainy,None,High,High,40,North
32,32,33,28,64,77,69,56,Morning,Clear,None,High,High,30,South
38,30,37,31,80,62,84,63,Evening,Clear,None,High,High,40,East
24,18,55,45,96,60,180,151,Evening,Foggy,None,High,Very High,50,East
37,46,16,29,102,130,55,83,Morning,Rainy,None,High,High,40,South
38,21,32,26,86,50,73,54,Afternoon,Clear,None,High,High,40,North
46,30,47,48,92,62,101,104,Evening,Clear,None,Very High,High,40,West
46,44,28,17,95,93,56,35,Morning,Clear,None,High,High,40,North
41,53,27,16,97,110,64,42,Morning,Clear,None,High,High,50,South
33,35,37,40,120,111,125,145,Evening,Foggy,None,High,Very High,40,West
33,19,27,37,66,44,59,74,Afternoon,Clear,None,High,High,40,West
29,19,38,35,68,42,86,71,Evening,Clear,None,High,High,40,East
39,30,42,48,87,75,87,98,Evening,Clear,None,High,High,40,West
51,49,15,13,180,175,69,41,Morning,Foggy,None,High,Very High,50,North
4,8,6,10,23,41,24,32,Night,Foggy,None,Low,Medium,10,West
14,23,25,22,33,58,65,47,Afternoon,Clear,None,Medium,Medium,30,East
42,23,52,38,145,80,164,139,Evening,Foggy,None,High,Very High,50,East
43,34,46,42,100,80,96,94,Evening,Clear,None,Very High,High,40,East
52,52,16,22,178,162,66,74,Morning,Foggy,None,High,Very High,50,North
24,30,41,29,49,63,92,68,Evening,Clear,None,High,High,40,East
48,42,18,11,106,98,48,36,Morning,Clear,None,High,High,40,North
37,40,38,41,89,93,89,93,Evening,Clear,None,High,High,40,West
7,0,7,0,29,0,25,16,Night,Rainy,None,Low,Low,10,North
25,23,27,21,67,74,75,70,Afternoon,Rainy,None,Medium,High,30,East
47,28,24,21,107,70,49,57,Morning,Clear,None,High,High,40,North
31,32,41,35,101,106,129,97,Evening,Rainy,None,High,Very High,40,East
25,21,41,52,72,66,118,143,Evening,Rainy,None,High,High,50,West
4,2,2,9,16,19,16,21,Night,Clear,None,Low,Low,10,West
4,8,7,8,16,16,28,31,Night,Clear,None,Low,Low,10,West
10,0,6,6,28,16,17,24,Night,Rainy,None,Low,Low,10,North
24,26,24,26,60,64,49,59,Afternoon,Clear,None,High,Medium,30,West
29,26,18,34,87,78,60,102,Afternoon,Rainy,None,High,High,30,West
34,22,43,39,108,78,129,117,Evening,Rainy,None,High,Very High,40,East
26,24,44,44,58,49,103,88,Evening,Clear,None,High,High,40,East
36,35,41,54,76,77,93,111,Evening,Clear,None,Very High,High,50,West
41,29,52,49,130,87,160,139,Evening,Rainy,None,Very High,Very High,50,East
8,7,4,1,32,35,27,13,Night,Foggy,None,Low,Low,10,South
5,6,10,0,19,25,34,10,Night,Clear,None,Low,Low,10,East
33,27,24,24,71,65,62,60,Afternoon,Clear,None,High,High,30,North
13,12,12,3,37,27,30,6,Night,Clear,None,Medium,Low,20,North
16,19,21,15,39,46,52,37,Afternoon,Clear,None,Medium,Medium,30,East
48,31,31,33,97,70,71,76,Morning,Clear,None,High,High,40,North
24,27,22,22,50,62,59,53,Afternoon,Clear,None,Medium,Medium,30,South
24,36,29,33,75,122,91,111,Afternoon,Foggy,None,High,High,40,South
45,43,24,25,128,125,67,68,Morning,Rainy,None,High,High,40,North
27,14,29,29,83,55,86,89,Afternoon,Rainy,None,Medium,High,30,West
28,31,30,16,68,70,73,45,Afternoon,Clear,None,High,High,30,East
2,2,12,0,4,8,33,2,Night,Clear,None,Low,Low,20,East
26,13,22,12,58,40,55,32,Afternoon,Clear,None,Medium,Medium,30,North
35,25,53,46,79,61,109,106,Evening,Clear,None,High,High,50,East
37,52,20,14,86,105,44,32,Morning,Clear,None,High,High,50,South
24,22,51,32,62,49,114,69,Evening,Clear,None,High,High,50,East
25,33,17,33,86,122,62,103,Afternoon,Foggy,None,High,High,30,South
7,9,9,15,21,33,41,45,Night,Rainy,None,Medium,Medium,20,West
29,30,51,51,65,64,107,105,Evening,Clear,None,Very High,High,50,West
30,24,41,46,62,59,95,101,Evening,Clear,None,High,High,40,West
6,1,9,4,15,3,28,16,Night,Clear,None,Low,Low,10,East
50,44,23,19,114,101,52,39,Morning,Clear,None,High,High,40,North
53,39,12,12,118,86,32,26,Morning,Clear,None,High,High,50,North
28,30,23,19,56,64,49,45,Afternoon,Clear,North,High,Medium,30,North
32,48,21,32,78,111,54,76,Morning,Clear,None,High,High,40,South
51,41,12,33,110,84,34,79,Morning,Clear,None,High,High,50,North
54,41,30,14,114,82,71,35,Morning,Clear,None,High,High,50,North
54,33,29,17,122,77,63,42,Morning,Clear,None,High,High,50,North
38,47,32,23,76,95,65,56,Morning,Clear,None,High,High,40,South
34,30,30,25,91,101,89,79,Afternoon,Rainy,None,High,High,30,North
18,32,28,34,51,65,64,73,Afternoon,Clear,None,High,High,30,West
33,35,18,15,72,83,44,34,Afternoon,Clear,None,High,Medium,30,South
35,34,14,13,84,69,40,31,Afternoon,Clear,None,Medium,Medium,30,North
21,14,23,18,42,42,51,51,Afternoon,Clear,None,Medium,Medium,30,East
24,25,31,34,61,51,77,77,Evening,Clear,None,High,High,30,West
36,43,29,35,97,125,98,109,Evening,Rainy,West,High,Very High,30,West
32,28,27,18,94,89,86,54,Afternoon,Rainy,None,High,High,30,North
39,48,15,29,82,105,33,71,Morning,Clear,None,High,High,40,South
55,52,17,19,110,107,40,43,Morning,Clear,None,High,High,50,North
37,41,36,20,81,90,74,40,Morning,Clear,None,High,High,40,South
3,6,3,9,26,41,29,35,Night,Foggy,None,Low,Medium,10,West
27,43,18,21,58,88,51,49,Morning,Clear,None,High,High,40,South
35,36,30,19,84,85,67,44,Morning,Clear,None,High,High,40,South
42,23,37,37,88,59,80,77,Evening,Clear,None,High,High,40,North
39,46,18,18,86,107,39,50,Morning,Clear,None,High,High,40,South
5,1,7,6,31,6,28,16,Night,Rainy,None,Low,Low,10,East
4,8,9,10,31,46,34,37,Night,Foggy,None,Low,Medium,10,South
8,6,6,10,28,25,26,32,Night,Clear,None,Low,Low,10,West
8,5,4,11,31,19,15,30,Night,Clear,None,Low,Low,20,West
7,7,13,15,20,20,43,55,Night,Rainy,None,Medium,Medium,20,West
26,35,40,43,67,78,84,96,Evening,Clear,None,High,High,40,West
30,35,15,24,60,81,45,59,Morning,Clear,None,High,High,30,South
32,39,13,18,114,124,60,68,Morning,Foggy,None,High,High,40,South
14,21,19,34,32,56,50,77,Afternoon,Clear,None,Medium,Medium,30,West
47,40,43,29,97,93,95,62,Evening,Clear,None,High,High,40,North
11,10,6,14,30,20,13,28,Night,Clear,None,Medium,Low,20,West
17,29,32,38,63,82,97,110,Evening,Rainy,None,High,High,40,West
24,18,42,41,55,37,94,96,Evening,Clear,None,High,High,40,West
0,14,7,8,0,54,41,43,Night,Foggy,None,Low,Medium,20,South
24,14,18,29,61,36,37,62,Afternoon,Clear,None,Medium,Medium,30,West
15,19,22,19,39,40,48,48,Afternoon,Clear,None,Medium,Medium,30,East
52,44,15,14,108,94,44,43,Morning,Clear,None,High,High,50,North
22,21,33,45,66,59,108,132,Evening,Rainy,None,High,High,40,West
23,29,29,35,79,89,102,127,Afternoon,Foggy,None,High,High,30,West
29,34,41,34,99,111,137,125,Evening,Foggy,None,High,Very High,40,East
49,48,34,18,110,99,76,51,Morning,Clear,None,High,High,40,North
50,39,21,14,147,112,71,47,Morning,Rainy,None,High,High,40,North
37,31,41,30,84,67,82,72,Evening,Clear,None,High,High,40,East
31,14,24,29,63,41,61,59,Afternoon,Clear,None,Medium,Medium,30,North
27,24,13,21,60,55,37,53,Afternoon,Clear,None,Medium,Medium,30,North
32,36,53,46,102,112,152,140,Evening,Rainy,North,Very High,Very High,50,East
34,47,23,29,69,94,61,65,Morning,Clear,None,High,High,40,South
25,26,53,37,62,62,115,87,Evening,Clear,None,High,High,50,East
54,36,33,8,117,82,78,19,Morning,Clear,None,High,High,50,North
31,33,40,39,69,72,83,84,Evening,Clear,None,High,High,40,West
31,33,29,39,77,67,69,91,Evening,Clear,None,High,High,40,West
50,51,29,11,108,106,69,25,Morning,Clear,None,High,High,50,South
32,32,26,25,75,69,56,54,Afternoon,Clear,None,High,High,30,North
3,8,4,15,16,21,27,40,Night,Rainy,None,Low,Low,20,West
42,37,30,48,87,84,71,111,Evening,Clear,None,High,High,40,West
51,27,35,32,117,64,77,69,Morning,Clear,None,High,High,50,North
22,32,35,34,57,68,75,81,Evening,Clear,None,High,High,30,West
37,46,35,24,102,124,99,70,Morning,Rainy,None,High,High,40,South
28,39,43,46,69,93,92,105,Evening,Clear,East,High,High,40,East
32,28,32,22,78,57,73,50,Afternoon,Clear,None,High,High,30,North
18,22,16,23,44,46,44,60,Afternoon,Clear,None,Medium,Medium,30,West
3,1,2,9,6,14,17,27,Night,Clear,None,Low,Low,10,West
22,39,34,34,57,87,72,73,Evening,Clear,None,High,High,40,South
33,33,32,19,108,108,106,52,Morning,Rainy,None,High,High,30,North
28,23,40,41,75,68,109,128,Evening,Rainy,None,High,High,40,West
4,10,6,8,19,32,17,26,Night,Clear,None,Low,Low,10,South
13,29,24,19,48,97,76,70,Afternoon,Rainy,None,Medium,High,30,South
4,7,8,7,22,32,36,32,Night,Rainy,None,Low,Medium,10,West
53,46,21,25,176,164,80,79,Morning,Foggy,None,High,Very High,50,North
49,36,37,21,162,124,116,86,Morning,Foggy,None,High,Very High,40,North
33,18,29,30,72,42,73,69,Afternoon,Clear,None,High,High,30,North
3,11,12,2,15,31,29,9,Night,Clear,None,Low,Low,20,East
50,34,23,13,175,122,82,63,Morning,Foggy,None,High,Very High,40,North
36,41,23,22,114,130,85,79,Morning,Foggy,None,High,Very High,40,South
25,25,31,22,64,65,77,52,Afternoon,Clear,None,High,High,30,East
24,28,20,28,54,58,40,68,Afternoon,Clear,None,High,Medium,30,West
32,35,28,34,64,71,61,68,Afternoon,Clear,None,High,High,30,West
22,24,51,39,56,63,103,90,Evening,Clear,None,High,High,50,East
49,49,28,11,105,99,69,32,Morning,Clear,None,High,High,40,South
26,34,46,48,67,72,106,108,Evening,Clear,South,High,High,30,South
18,23,33,23,36,49,66,48,Afternoon,Clear,None,Medium,Medium,30,East
32,46,31,19,113,144,110,72,Morning,Foggy,None,High,Very High,40,South
32,29,30,32,93,87,82,99,Afternoon,Rainy,None,High,High,30,West
31,15,24,21,99,59,78,59,Afternoon,Rainy,None,Medium,High,30,North
31,19,54,36,66,42,113,87,Evening,Clear,None,High,High,50,East
45,43,20,18,96,96,44,45,Morning,Clear,None,High,High,40,North
3,9,8,4,19,29,23,18,Night,Clear,None,Low,Low,10,South
18,34,15,20,39,80,34,45,Afternoon,Clear,None,Medium,Medium,30,South
36,40,54,41,79,89,118,90,Evening,Clear,North,Very High,High,40,North
9,3,13,0,23,11,36,14,Night,Clear,None,Low,Low,20,East
